"b","sb","prior"
"373",3.45,3.24353775032367,"SOFT"
"374",3.5,3.29353775032367,"SOFT"
"375",3.55,3.34353775032367,"SOFT"
"376",3.6,3.39353775032367,"SOFT"
"377",3.65,3.44353775032367,"SOFT"
"378",3.7,3.49353775032367,"SOFT"
"379",3.75,3.54353775032367,"SOFT"
"380",3.8,3.59353775032367,"SOFT"
"381",3.85,3.64353775032367,"SOFT"
"382",3.9,3.69353775032367,"SOFT"
"383",3.95,3.74353775032367,"SOFT"
"384",4,3.79353775032367,"SOFT"
"385",4.05,3.84353775032367,"SOFT"
"386",4.1,3.89353775032367,"SOFT"
"387",4.15,3.94353775032367,"SOFT"
"388",4.2,3.99353775032367,"SOFT"
"389",4.25,4.04353775032367,"SOFT"
"390",4.3,4.09353775032367,"SOFT"
"391",4.35,4.14353775032367,"SOFT"
"392",4.4,4.19353775032367,"SOFT"
"393",4.45,4.24353775032367,"SOFT"
"394",4.5,4.29353775032367,"SOFT"
"395",4.55,4.34353775032367,"SOFT"
"396",4.6,4.39353775032367,"SOFT"
"397",4.65,4.44353775032367,"SOFT"
"398",4.7,4.49353775032367,"SOFT"
"399",4.75,4.54353775032367,"SOFT"
"400",4.8,4.59353775032367,"SOFT"
"401",4.85,4.64353775032367,"SOFT"
"402",4.9,4.69353775032367,"SOFT"
"403",4.95,4.74353775032367,"SOFT"
"404",5,4.79353775032367,"SOFT"
"405",0,0,"HARD"
"406",0.05,0.05,"HARD"
"407",0.1,0.1,"HARD"
"408",0.15,0.15,"HARD"
"409",0.2,0.2,"HARD"
"410",0.25,0.25,"HARD"
"411",0.3,0.3,"HARD"
"412",0.35,0.35,"HARD"
"413",0.4,0.4,"HARD"
"414",0.45,0.45,"HARD"
"415",0.5,0.5,"HARD"
"416",0.55,0.55,"HARD"
"417",0.6,0.6,"HARD"
"418",0.65,0.65,"HARD"
"419",0.7,0.7,"HARD"
"420",0.75,0.75,"HARD"
"421",0.8,0.8,"HARD"
"422",0.85,0.85,"HARD"
"423",0.9,0.9,"HARD"
"424",0.95,0.95,"HARD"
"425",1,1,"HARD"
"426",1.05,1.05,"HARD"
"427",1.1,1.1,"HARD"
"428",1.15,1.15,"HARD"
"429",1.2,1.2,"HARD"
"430",1.25,1.25,"HARD"
"431",1.3,1.3,"HARD"
"432",1.35,1.35,"HARD"
"433",1.4,1.4,"HARD"
"434",1.45,1.45,"HARD"
"435",1.5,1.5,"HARD"
"436",1.55,1.55,"HARD"
"437",1.6,1.6,"HARD"
"438",1.65,1.65,"HARD"
"439",1.7,1.7,"HARD"
"440",1.75,1.75,"HARD"
"441",1.8,1.8,"HARD"
"442",1.85,1.85,"HARD"
"443",1.9,1.9,"HARD"
"444",1.95,1.95,"HARD"
"445",2,2,"HARD"
"446",2.05,2.05,"HARD"
"447",2.1,2.1,"HARD"
"448",2.15,2.15,"HARD"
"449",2.2,2.2,"HARD"
"450",2.25,2.25,"HARD"
"451",2.3,2.3,"HARD"
"452",2.35,2.35,"HARD"
"453",2.4,2.4,"HARD"
"454",2.45,2.45,"HARD"
"455",2.5,2.5,"HARD"
"456",2.55,2.55,"HARD"
"457",2.6,2.6,"HARD"
"458",2.65,2.65,"HARD"
"459",2.7,2.7,"HARD"
"460",2.75,2.75,"HARD"
"461",2.8,2.8,"HARD"
"462",2.85,2.85,"HARD"
"463",2.9,2.9,"HARD"
"464",2.95,2.95,"HARD"
"465",3,3,"HARD"
"466",3.05,3.05,"HARD"
"467",3.1,3.1,"HARD"
"468",3.15,3.15,"HARD"
"469",3.2,3.2,"HARD"
"470",3.25,3.25,"HARD"
"471",3.3,3.3,"HARD"
"472",3.35,3.35,"HARD"
"473",3.4,3.4,"HARD"
"474",3.45,3.45,"HARD"
"475",3.5,3.5,"HARD"
"476",3.55,3.55,"HARD"
"477",3.6,3.6,"HARD"
"478",3.65,3.65,"HARD"
"479",3.7,3.7,"HARD"
"480",3.75,3.75,"HARD"
"481",3.8,3.8,"HARD"
"482",3.85,3.85,"HARD"
"483",3.9,3.9,"HARD"
"484",3.95,3.95,"HARD"
"485",4,4,"HARD"
"486",4.05,4.05,"HARD"
"487",4.1,4.1,"HARD"
"488",4.15,4.15,"HARD"
"489",4.2,4.2,"HARD"
"490",4.25,4.25,"HARD"
"491",4.3,4.3,"HARD"
"492",4.35,4.35,"HARD"
"493",4.4,4.4,"HARD"
"494",4.45,4.45,"HARD"
"495",4.5,4.5,"HARD"
"496",4.55,4.55,"HARD"
"497",4.6,4.6,"HARD"
"498",4.65,4.65,"HARD"
"499",4.7,4.7,"HARD"
"500",4.75,4.75,"HARD"
"501",4.8,4.8,"HARD"
"502",4.85,4.85,"HARD"
"503",4.9,4.9,"HARD"
"504",4.95,4.95,"HARD"
"505",5,5,"HARD"
"1100",0,0,"best"
"2100",0.05,0.000109549983447891,"best"
"3100",0.1,0.00140511942975709,"best"
"4100",0.15,0.0365173397304553,"best"
"510",0.2,0.192299522479598,"best"
"610",0.25,0.249838695025685,"best"
"710",0.3,0.299849729095346,"best"
"810",0.35,0.349824737089598,"best"
"910",0.4,0.399799699549322,"best"
"1010",0.45,0.44977466199299,"best"
"1110",0.5,0.499749624436655,"best"
"1210",0.55,0.549724586880321,"best"
"1310",0.6,0.599699549323986,"best"
"1410",0.65,0.649674511767652,"best"
"1510",0.7,0.699649474211317,"best"
"1610",0.75,0.749624436654983,"best"
"1710",0.8,0.799599399098648,"best"
"1810",0.85,0.849574361542314,"best"
"1910",0.9,0.899549323985979,"best"
"2010",0.95,0.949524286429645,"best"
"2110",1,0.99949924887331,"best"
"2210",1.05,1.04947421131698,"best"
"2310",1.1,1.09944917376064,"best"
"2410",1.15,1.14942413620431,"best"
"2510",1.2,1.19939909864797,"best"
"2610",1.25,1.24937406109164,"best"
"2710",1.3,1.2993490235353,"best"
"2810",1.35,1.34932398597897,"best"
"2910",1.4,1.39929894842263,"best"
"3010",1.45,1.4492739108663,"best"
"3110",1.5,1.49924887330997,"best"
"3210",1.55,1.54922383575363,"best"
"3310",1.6,1.5991987981973,"best"
"3410",1.65,1.64917376064096,"best"
"3510",1.7,1.69914872308463,"best"
"3610",1.75,1.74912368552829,"best"
"3710",1.8,1.79909864797196,"best"
"3810",1.85,1.84907361041562,"best"
"3910",1.9,1.89904857285929,"best"
"4010",1.95,1.94902353530295,"best"
"4110",2,1.99899849774662,"best"
"4210",2.05,2.04897346019029,"best"
"4310",2.1,2.09894842263395,"best"
"4410",2.15,2.14892338507762,"best"
"4510",2.2,2.19889834752128,"best"
"4610",2.25,2.24887330996495,"best"
"4710",2.3,2.29884827240861,"best"
"4810",2.35,2.34882323485228,"best"
"4910",2.4,2.39879819729594,"best"
"506",2.45,2.44877315973961,"best"
"511",2.5,2.49874812218328,"best"
"521",2.55,2.54872308462694,"best"
"531",2.6,2.59869804707061,"best"
"541",2.65,2.64867300951427,"best"
"551",2.7,2.69864797195794,"best"
"561",2.75,2.7486229344016,"best"
"571",2.8,2.79859789684527,"best"
"581",2.85,2.84857285928893,"best"
"591",2.9,2.8985478217326,"best"
"601",2.95,2.94852278417626,"best"
"611",3,2.99849774661993,"best"
"621",3.05,3.0484727090636,"best"
"631",3.1,3.09844767150726,"best"
"641",3.15,3.14842263395093,"best"
"651",3.2,3.19839759639459,"best"
"661",3.25,3.24837255883826,"best"
"671",3.3,3.29834752128192,"best"
"681",3.35,3.34832248372559,"best"
"691",3.4,3.39829744616925,"best"
"701",3.45,3.44827240861292,"best"
"711",3.5,3.49824737105659,"best"
"721",3.55,3.54822233350025,"best"
"731",3.6,3.59819729594392,"best"
"741",3.65,3.64817225838758,"best"
"751",3.7,3.69814722083125,"best"
"761",3.75,3.74812218327491,"best"
"771",3.8,3.79809714571858,"best"
"781",3.85,3.84807210816224,"best"
"791",3.9,3.89804707060591,"best"
"801",3.95,3.94802203304957,"best"
"811",4,3.99799699549324,"best"
"821",4.05,4.04797195793691,"best"
"831",4.1,4.09794692038057,"best"
"841",4.15,4.14792188282424,"best"
"851",4.2,4.1978968452679,"best"
"861",4.25,4.24787180771157,"best"
"871",4.3,4.29784677015523,"best"
"881",4.35,4.3478217325989,"best"
"891",4.4,4.39779669504256,"best"
"901",4.45,4.44777165748623,"best"
"911",4.5,4.4977466199299,"best"
"921",4.55,4.54772158237356,"best"
"931",4.6,4.59769654481723,"best"
"941",4.65,4.64767150726089,"best"
"951",4.7,4.69764646970456,"best"
"961",4.75,4.74762143214822,"best"
"971",4.8,4.79759639459189,"best"
"981",4.85,4.84757135703555,"best"
"991",4.9,4.89754631947922,"best"
"1001",4.95,4.94752128192289,"best"
"1011",5,4.99749624436655,"best"
