"b","sb","prior"
"436",6.2,6.2,"HARD"
"437",6.4,6.4,"HARD"
"438",6.6,6.6,"HARD"
"439",6.8,6.8,"HARD"
"440",7,7,"HARD"
"441",7.2,7.2,"HARD"
"442",7.4,7.4,"HARD"
"443",7.6,7.6,"HARD"
"444",7.8,7.8,"HARD"
"445",8,8,"HARD"
"446",8.2,8.2,"HARD"
"447",8.4,8.4,"HARD"
"448",8.6,8.6,"HARD"
"449",8.8,8.8,"HARD"
"450",9,9,"HARD"
"451",9.2,9.2,"HARD"
"452",9.4,9.4,"HARD"
"453",9.6,9.6,"HARD"
"454",9.8,9.8,"HARD"
"455",10,10,"HARD"
"456",10.2,10.2,"HARD"
"457",10.4,10.4,"HARD"
"458",10.6,10.6,"HARD"
"459",10.8,10.8,"HARD"
"460",11,11,"HARD"
"461",11.2,11.2,"HARD"
"462",11.4,11.4,"HARD"
"463",11.6,11.6,"HARD"
"464",11.8,11.8,"HARD"
"465",12,12,"HARD"
"466",12.2,12.2,"HARD"
"467",12.4,12.4,"HARD"
"468",12.6,12.6,"HARD"
"469",12.8,12.8,"HARD"
"470",13,13,"HARD"
"471",13.2,13.2,"HARD"
"472",13.4,13.4,"HARD"
"473",13.6,13.6,"HARD"
"474",13.8,13.8,"HARD"
"475",14,14,"HARD"
"476",14.2,14.2,"HARD"
"477",14.4,14.4,"HARD"
"478",14.6,14.6,"HARD"
"479",14.8,14.8,"HARD"
"480",15,15,"HARD"
"481",15.2,15.2,"HARD"
"482",15.4,15.4,"HARD"
"483",15.6,15.6,"HARD"
"484",15.8,15.8,"HARD"
"485",16,16,"HARD"
"486",16.2,16.2,"HARD"
"487",16.4,16.4,"HARD"
"488",16.6,16.6,"HARD"
"489",16.8,16.8,"HARD"
"490",17,17,"HARD"
"491",17.2,17.2,"HARD"
"492",17.4,17.4,"HARD"
"493",17.6,17.6,"HARD"
"494",17.8,17.8,"HARD"
"495",18,18,"HARD"
"496",18.2,18.2,"HARD"
"497",18.4,18.4,"HARD"
"498",18.6,18.6,"HARD"
"499",18.8,18.8,"HARD"
"500",19,19,"HARD"
"501",19.2,19.2,"HARD"
"502",19.4,19.4,"HARD"
"503",19.6,19.6,"HARD"
"504",19.8,19.8,"HARD"
"505",20,20,"HARD"
"1100",0,0,"best"
"2100",0.2,0,"best"
"3100",0.4,0,"best"
"4100",0.6,0.6,"best"
"510",0.8,0.8,"best"
"610",1,1,"best"
"710",1.2,1.2,"best"
"810",1.4,1.4,"best"
"910",1.6,1.6,"best"
"1010",1.8,1.8,"best"
"1110",2,2,"best"
"1210",2.2,2.2,"best"
"1310",2.4,2.4,"best"
"1410",2.6,2.6,"best"
"1510",2.8,2.8,"best"
"1610",3,3,"best"
"1710",3.2,3.2,"best"
"1810",3.4,3.4,"best"
"1910",3.6,3.6,"best"
"2010",3.8,3.8,"best"
"2110",4,4,"best"
"2210",4.2,4.2,"best"
"2310",4.4,4.4,"best"
"2410",4.6,4.6,"best"
"2510",4.8,4.8,"best"
"2610",5,5,"best"
"2710",5.2,5.2,"best"
"2810",5.4,5.4,"best"
"2910",5.6,5.6,"best"
"3010",5.8,5.8,"best"
"3110",6,6,"best"
"3210",6.2,6.2,"best"
"3310",6.4,6.4,"best"
"3410",6.6,6.6,"best"
"3510",6.8,6.8,"best"
"3610",7,7,"best"
"3710",7.2,7.2,"best"
"3810",7.4,7.4,"best"
"3910",7.6,7.6,"best"
"4010",7.8,7.8,"best"
"4110",8,8,"best"
"4210",8.2,8.2,"best"
"4310",8.4,8.4,"best"
"4410",8.6,8.6,"best"
"4510",8.8,8.8,"best"
"4610",9,9,"best"
"4710",9.2,9.2,"best"
"4810",9.4,9.4,"best"
"4910",9.6,9.6,"best"
"506",9.8,9.8,"best"
"511",10,10,"best"
"521",10.2,10.2,"best"
"531",10.4,10.4,"best"
"541",10.6,10.6,"best"
"551",10.8,10.8,"best"
"561",11,11,"best"
"571",11.2,11.2,"best"
"581",11.4,11.4,"best"
"591",11.6,11.6,"best"
"601",11.8,11.8,"best"
"611",12,12,"best"
"621",12.2,12.2,"best"
"631",12.4,12.4,"best"
"641",12.6,12.6,"best"
"651",12.8,12.8,"best"
"661",13,13,"best"
"671",13.2,13.2,"best"
"681",13.4,13.4,"best"
"691",13.6,13.6,"best"
"701",13.8,13.8,"best"
"711",14,14,"best"
"721",14.2,14.2,"best"
"731",14.4,14.4,"best"
"741",14.6,14.6,"best"
"751",14.8,14.8,"best"
"761",15,15,"best"
"771",15.2,15.2,"best"
"781",15.4,15.4,"best"
"791",15.6,15.6,"best"
"801",15.8,15.8,"best"
"811",16,16,"best"
"821",16.2,16.2,"best"
"831",16.4,16.4,"best"
"841",16.6,16.6,"best"
"851",16.8,16.8,"best"
"861",17,17,"best"
"871",17.2,17.2,"best"
"881",17.4,17.4,"best"
"891",17.6,17.6,"best"
"901",17.8,17.8,"best"
"911",18,18,"best"
"921",18.2,18.2,"best"
"931",18.4,18.4,"best"
"941",18.6,18.6,"best"
"951",18.8,18.8,"best"
"961",19,19,"best"
"971",19.2,19.2,"best"
"981",19.4,19.4,"best"
"991",19.6,19.6,"best"
"1001",19.8,19.8,"best"
"1011",20,20,"best"
